КОМАНДА: netsh.exe interface ipv4 show interfaces
КОД ВЫХОДА: 0


Idx     Met         MTU          State                Name
---  ----------  ----------  ------------  ---------------------------
  1          75  4294967295  connected     Loopback Pseudo-Interface 1
 63           5        1376  connected     AmneziaVPN
 11           5        1500  disconnected  Подключение по локальной сети 3
 21           5        1500  disconnected  Подключение по локальной сети 4
 13           5        1420  disconnected  Подключение по локальной сети 5
 15           5        1500  disconnected  Подключение по локальной сети 2
 17          25        1500  connected     Ethernet 5
  4          25        1500  connected     Ethernet 6
 23          35        1500  disconnected  outline-tap0


